氏名（ローマ字）,年齢,メールアドレス,携帯電話番号,郵便番号,住所,会社名
Kitayama Shunsuke,20,kitayama64@example.com,080-5050-6853,675-0314,兵庫県姫路市神屋町2丁目2番3号,有限会社葵
Suzumura Hisako,40,suzumura24@example.net,070-7040-4906,151-6910,東京都目黒区下目黒1-5-10,株式会社タカノ
Nakamura Akira,21,nakamura_611@example.jp,090-0892-0464,869-0768,熊本県熊本市東区戸島西3-5-13,株式会社クレッシェンド
Murakami Keita,59,murakami_keita@example.org,050-1834-1790,340-9006,埼玉県北本市中央4丁目2番地10号,株式会社新栄
Kuroda Masaki,64,kuroda125@example.ne.jp,070-9963-4081,655-7145,兵庫県神戸市灘区高尾通3-1-205,有限会社高橋商店
Ogawa Yoshito,28,ogawa_yoshito@example.ne.jp,070-5139-5792,240-2242,神奈川県厚木市戸室3-3-18,株式会社リード
Kaji Erika,42,kaji_41@example.org,080-5782-0000,213-8501,神奈川県横浜市港北区高田西1-5-904,有限会社田中商店
Tanaka Hajime,41,tanaka_713@example.jp,090-4780-3067,084-1566,北海道札幌市北区北二十五条西1-3-309,有限会社山口工務店
Nagumo Toshihiko,36,toshihiko_nagumo@example.co.jp,090-5740-3980,142-2029,東京都港区港南2-1-10,株式会社山本
Honda Shinji,76,shinji_honda@example.jp,080-5713-8724,652-6493,兵庫県伊丹市西台1丁目3番6号,株式会社アステック
